"Player","Team","REC","YDS","TDS","FL","FPTS"
"","low","20.9","75.4","0.0","0.0","24.9"
"Brycen Hopkins","LAR","13.1","148.0","0.9","0.0","26.6"
"","high","15.4","166.7","1.3","0.0","46.3"
"","low","11.0","125.4","0.4","0.1","19.5"
"Dan Arnold","PHI","10.0","166.2","0.8","0.2","26.1"
"","high","10.0","173.4","1.0","0.0","32.2"
"","low","10.0","159.0","0.6","0.3","18.0"
"Elijah Higgins","MIA","11.0","162.1","0.7","0.1","25.8"
"","high","11.0","175.0","1.0","0.0","30.7"
"","low","11.0","149.1","0.4","0.1","21.5"
"Lawrence Cager","NYG","11.5","134.0","1.0","0.0","25.5"
"","high","13.0","175.0","1.1","0.0","42.9"
"","low","10.0","93.0","1.0","0.0","15.8"
"Adam Trautman","DEN","11.4","163.1","0.6","0.2","25.1"
"","high","17.0","295.8","1.0","0.0","48.2"
"","low","3.8","39.4","0.0","0.5","11.6"
"Daniel Bellinger","NYG","9.9","156.6","0.8","0.4","24.5"
"","high","12.2","348.3","1.0","0.0","62.8"
"","low","7.5","66.8","0.5","1.2","14.4"
"Teagan Quitoriano","HOU","10.9","128.2","0.9","0.0","23.4"
"","high","21.0","254.0","2.0","0.0","33.5"
"","low","3.6","36.4","0.2","0.1","10.6"
"Eric Saubert","MIA","13.1","123.6","0.7","0.0","23.4"
"","high","15.7","143.3","1.1","0.0","34.2"
"","low","11.0","98.2","0.0","0.0","16.6"
"Cameron Latu","SF","13.1","119.9","0.7","0.0","23.1"
"","high","16.2","136.8","1.0","0.0","42.2"
"","low","10.0","109.0","0.3","0.1","16.5"
"John Bates","WAS","12.8","128.0","0.6","0.0","22.7"
"","high","21.0","185.0","1.0","0.0","33.6"
"","low","7.3","68.9","0.0","0.0","16.2"
"Miller Forristall","CLE","11.0","109.0","1.0","0.0","22.4"
"","high","11.0","109.0","1.0","0.0","15.5"
"","low","11.0","109.0","1.0","0.0","15.5"
"Blake Bell","KC","9.4","88.9","1.0","0.0","22.2"
"","high","13.0","125.0","2.0","0.0","30.4"
"","low","4.5","45.9","0.4","0.0","16.0"
"Payne Durham","TB","13.7","116.2","0.6","0.4","22.0"
"","high","20.0","177.0","1.0","0.0","25.4"
"","low","7.4","68.7","0.3","1.0","20.9"
"Tre' McKitty","LAC","11.9","123.0","0.6","0.0","21.9"
"","high","14.0","162.2","1.0","0.0","33.1"
"","low","9.7","96.9","0.0","0.0","15.9"
"Davis Allen","LAR","16.2","86.9","0.8","0.3","21.1"
"","high","30.0","208.0","2.0","0.0","31.1"
"","low","2.3","17.7","0.2","1.0","13.2"
"Josh Whyle","TEN","10.5","111.0","0.7","0.0","20.8"
"","high","11.9","137.3","1.0","0.0","31.9"
"","low","9.0","96.0","0.4","0.1","15.2"
"Stephen Sullivan","CAR","8.8","123.9","0.6","0.0","20.6"
"","high","14.0","211.0","1.0","0.0","23.4"
"","low","3.7","36.7","0.3","0.0","9.7"
"Peyton Hendershot","DAL","6.9","109.6","0.9","0.1","20.0"
"","high","11.0","232.8","2.0","0.0","41.3"
"","low","3.9","38.5","0.4","0.2","9.5"
"Andrew Ogletree","IND","10.0","88.0","1.0","0.0","19.8"
"","high","10.0","88.0","1.0","0.0","15.0"
"","low","10.0","88.0","1.0","0.0","15.0"
"Jack Stoll","PHI","10.4","106.0","0.4","0.0","18.3"
"","high","21.0","207.0","1.0","0.0","25.6"
"","low","3.5","32.5","0.0","0.0","9.6"
"Connor Heyward","PIT","7.1","94.4","0.6","0.0","17.7"
"","high","10.5","132.6","1.0","0.0","34.8"
"","low","3.6","37.2","0.2","0.1","8.7"
"Zach Gentry","PIT","10.6","87.1","0.5","0.0","17.2"
"","high","13.0","104.0","1.0","0.0","30.5"
"","low","7.4","68.4","0.0","0.0","15.0"
"Zack Kuntz","NYJ","7.1","104.4","0.5","0.0","17.1"
"","high","12.0","172.7","1.0","0.0","32.4"
"","low","2.2","17.4","0.2","0.1","8.5"
"Marcedes Lewis","CHI","8.0","64.1","1.1","0.1","16.9"
"","high","8.0","85.0","2.0","0.0","20.0"
"","low","8.0","43.2","0.2","0.1","13.0"
"Ko Kieft","TB","7.8","87.9","0.7","0.0","16.6"
"","high","11.7","125.4","1.0","0.0","30.4"
"","low","3.7","38.0","0.3","0.1","9.3"
"Jeremy Ruckert","NYJ","6.5","100.7","0.5","0.0","16.4"
"","high","12.0","208.4","1.0","0.0","37.4"
"","low","3.4","36.0","0.3","0.1","8.9"
"Stone Smartt","LAC","8.7","78.0","0.7","0.0","16.4"
"","high","14.0","110.0","1.0","0.0","14.7"
"","low","3.4","46.0","0.4","0.0","14.3"
"Brayden Willis","SF","10.0","72.0","0.7","0.0","16.1"
"","high","10.0","109.0","1.0","0.0","15.0"
"","low","10.0","35.0","0.3","0.0","12.2"
"Jody Fortson","KC","7.3","104.1","0.5","0.5","15.9"
"","high","7.7","154.2","0.8","0.0","24.8"
"","low","6.9","69.8","0.0","1.0","14.5"
"Tyler Kroft","MIA","8.0","79.3","0.6","0.0","15.4"
"","high","13.0","162.0","1.0","0.0","17.0"
"","low","2.9","29.8","0.3","0.0","12.4"
"Tanner Hudson","CIN","8.0","86.6","0.4","0.0","15.3"
"","high","11.8","119.4","1.0","0.0","33.5"
"","low","4.2","41.7","0.0","0.0","10.2"
"Drew Sample","CIN","8.5","81.3","0.5","0.1","15.1"
