"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","65.0","732.0","3.0","0.0","0.0","0.0","1.1","117.2"
"Michael Thomas","NO","66.0","778.4","4.6","0.4","1.6","0.0","0.3","138.2"
"","high","75.1","910.1","7.0","1.0","7.0","0.0","0.0","237.7"
"","low","55.0","640.0","1.7","0.0","0.0","0.0","1.0","128.0"
"Treylon Burks","TEN","58.4","800.4","3.9","6.3","51.9","0.1","0.3","137.5"
"","high","70.1","937.7","5.3","8.3","97.8","0.2","0.0","173.9"
"","low","51.0","636.1","2.0","5.0","26.2","0.0","1.0","113.2"
"Kadarius Toney","KC","55.4","617.1","4.2","10.9","112.4","1.5","0.7","132.9"
"","high","67.6","775.0","5.0","18.0","195.0","3.0","0.1","216.6"
"","low","38.0","405.0","3.1","8.0","48.3","0.6","1.0","111.7"
"Jaxon Smith-Njigba","SEA","57.8","780.0","4.3","1.5","10.2","0.0","0.8","132.0"
"","high","68.0","850.8","5.0","3.9","24.3","0.2","0.0","176.5"
"","low","49.4","638.7","4.0","0.0","0.0","0.0","2.0","120.9"
"Courtland Sutton","DEN","57.6","783.6","3.9","0.6","3.3","0.0","0.3","130.0"
"","high","59.0","921.6","5.0","1.3","7.2","0.0","0.0","186.8"
"","low","56.0","732.0","1.7","0.0","0.0","0.0","1.0","113.8"
"Nico Collins","HOU","58.7","725.8","4.5","0.0","0.2","0.0","0.3","128.5"
"","high","63.3","830.7","5.4","0.0","0.8","0.0","0.0","204.6"
"","low","55.0","634.6","3.9","0.0","0.0","0.0","1.0","118.3"
"Rondale Moore","ARI","70.6","725.3","2.3","15.1","62.5","0.1","0.6","127.1"
"","high","74.0","795.7","3.7","21.0","114.0","0.2","0.0","215.9"
"","low","65.0","619.0","0.3","4.6","26.9","0.0","1.0","102.3"
"Jakobi Meyers","LV","62.4","743.9","3.7","1.2","2.5","0.0","0.7","126.7"
"","high","65.8","805.6","4.7","2.0","12.9","0.1","0.0","207.4"
"","low","57.0","693.9","2.7","0.0","-5.0","0.0","1.1","117.2"
"Zay Flowers","BAL","52.9","722.1","4.4","1.4","11.9","0.1","0.8","125.2"
"","high","56.4","773.4","5.0","3.5","25.0","0.2","0.0","178.6"
"","low","49.0","679.8","3.2","0.0","0.0","0.0","2.0","120.4"
"Tyler Boyd","CIN","57.9","718.6","3.8","1.9","10.6","0.0","0.5","124.0"
"","high","64.2","857.2","5.0","4.2","24.1","0.2","0.0","203.4"
"","low","52.3","597.8","2.4","0.0","0.0","0.0","1.0","111.9"
"Adam Thielen","CAR","57.5","667.5","4.3","0.7","5.0","0.1","0.4","121.3"
"","high","78.0","876.0","5.0","1.8","14.6","0.2","0.0","172.5"
"","low","46.1","544.2","3.8","0.0","0.0","0.0","1.0","105.5"
"Zay Jones","JAC","62.0","679.6","3.7","1.8","7.5","0.0","0.5","120.9"
"","high","67.9","757.1","5.0","3.0","11.0","0.1","0.0","206.1"
"","low","58.0","605.0","1.6","0.0","0.0","0.0","1.0","105.0"
"Allen Lazard","NYJ","53.3","668.7","4.4","1.4","9.9","0.0","0.3","120.4"
"","high","55.4","736.0","4.9","2.1","18.6","0.1","0.0","171.1"
"","low","51.0","632.8","4.0","0.0","0.0","0.0","1.0","114.7"
"Rashod Bateman","BAL","48.9","731.9","3.9","0.0","0.4","0.0","1.0","119.0"
"","high","52.5","778.6","4.1","0.0","1.7","0.0","0.0","173.2"
"","low","43.0","687.4","3.3","0.0","0.0","0.0","2.0","110.5"
"DJ Chark Jr.","CAR","44.7","706.0","3.8","0.2","1.7","0.0","0.0","116.1"
"","high","49.6","744.1","4.4","0.5","5.4","0.0","0.0","167.8"
"","low","40.0","680.4","3.0","0.0","0.0","0.0","0.0","109.4"
"Quentin Johnston","LAC","48.0","693.0","3.6","3.4","17.5","0.1","0.8","115.8"
"","high","63.2","825.1","4.1","4.3","23.8","0.2","0.0","166.2"
"","low","31.8","390.2","2.6","2.0","8.0","0.0","2.0","111.0"
"Marquez Valdes-Scantling","KC","44.1","694.6","4.0","0.9","2.4","0.0","0.1","115.6"
"","high","52.1","819.4","5.3","1.7","4.9","0.0","0.0","188.7"
"","low","36.0","621.0","2.9","0.0","0.0","0.0","0.3","93.1"
"Darnell Mooney","CHI","50.9","657.4","3.7","1.8","8.8","0.1","0.3","114.3"
"","high","57.0","768.5","4.7","3.5","17.4","0.3","0.0","188.1"
"","low","47.8","569.1","2.5","0.0","0.0","0.0","1.0","100.5"
"Romeo Doubs","GB","53.6","627.5","4.3","0.8","7.7","0.0","0.8","114.3"
"","high","58.0","713.7","5.0","1.5","16.4","0.0","0.0","174.4"
"","low","48.9","565.3","3.5","0.0","0.0","0.0","1.3","103.5"
"Hunter Renfrow","LV","62.0","607.3","3.8","0.6","4.7","0.0","0.6","113.8"
"","high","68.0","685.0","4.9","1.0","17.1","0.0","0.0","198.6"
"","low","58.0","554.3","3.0","0.0","0.0","0.0","1.0","102.9"
"DeVante Parker","NE","45.6","682.8","3.8","0.0","0.2","0.0","0.0","113.6"
"","high","52.8","899.0","5.9","0.0","0.9","0.0","0.0","201.2"
"","low","40.0","593.0","1.9","0.0","0.0","0.0","0.0","96.8"
"Donovan Peoples-Jones","CLE","46.7","690.7","3.2","0.5","0.6","0.0","0.6","110.4"
"","high","51.0","754.4","5.0","1.0","1.0","0.0","0.0","163.4"
"","low","43.8","608.2","2.0","0.0","0.0","0.0","1.0","100.5"
"Jameson Williams","DET","42.6","641.1","3.6","2.5","24.4","0.1","0.5","109.3"
"","high","52.0","761.1","5.0","5.5","37.0","0.3","0.0","149.1"
"","low","33.9","475.1","2.3","0.0","0.0","0.0","1.0","107.9"
"Curtis Samuel","WAS","48.2","509.0","2.5","26.2","146.6","0.9","0.5","109.1"
"","high","58.0","595.0","3.0","32.0","186.8","1.0","0.3","150.9"
"","low","41.3","464.3","1.0","17.6","102.4","0.6","1.0","92.1"
"Jonathan Mingo","CAR","46.8","654.2","3.2","1.6","15.7","0.1","0.5","109.0"
"","high","49.8","727.0","4.5","2.7","36.4","0.2","0.0","174.4"
"","low","44.0","569.7","1.7","0.0","0.0","0.0","1.0","101.4"
"Skyy Moore","KC","48.0","615.7","3.5","6.1","36.2","0.2","2.6","106.2"
"","high","59.0","799.3","5.0","8.4","49.7","0.6","0.0","146.4"
"","low","34.0","369.4","2.0","4.0","21.0","0.0","5.0","106.0"
"Michael Gallup","DAL","45.7","598.4","3.9","0.0","0.9","0.0","0.0","106.0"
"","high","50.6","694.1","5.0","0.0","4.4","0.0","0.0","135.0"
"","low","40.1","487.0","2.6","0.0","0.0","0.0","0.0","85.8"
"Isaiah Hodgins","NYG","47.2","541.2","4.9","0.0","0.7","0.0","0.7","105.9"
"","high","57.3","759.5","6.0","0.0","1.9","0.0","0.0","192.1"
"","low","31.4","337.4","2.2","0.0","0.0","0.0","1.1","70.1"
"Van Jefferson","LAR","42.2","598.7","3.9","0.9","6.1","0.0","0.0","105.1"
"","high","47.9","697.8","4.8","1.6","13.2","0.0","0.0","168.6"
"","low","36.0","528.0","2.8","0.0","0.0","0.0","0.0","91.1"
"K.J. Osborn","MIN","47.5","543.3","4.3","2.6","12.2","0.1","0.3","104.9"
"","high","58.7","698.4","5.1","4.2","23.6","0.2","0.0","183.9"
"","low","36.9","400.5","2.9","1.7","5.0","0.0","1.0","84.2"
"Robert Woods","HOU","55.5","552.1","2.8","4.1","19.6","0.2","0.4","101.8"
"","high","67.4","670.9","4.2","8.4","52.6","0.7","0.0","187.6"
"","low","47.2","486.0","1.1","0.0","0.0","0.0","1.0","83.8"
"Odell Beckham Jr.","BAL","41.2","558.1","3.5","1.4","20.5","0.3","0.1","101.0"
"","high","56.0","737.0","5.0","3.0","58.0","1.0","0.0","134.5"
"","low","18.0","210.8","1.6","0.0","0.0","0.0","0.3","71.1"
"Elijah Moore","CLE","42.7","578.5","3.1","4.9","24.4","0.2","0.3","100.7"
"","high","55.0","709.5","4.1","7.6","44.6","0.8","0.0","155.6"
"","low","18.8","261.4","1.4","0.0","0.0","0.0","1.0","78.5"
"Rashid Shaheed","NO","36.8","580.1","2.4","3.4","46.8","0.9","0.3","100.0"
"","high","39.8","682.8","3.7","5.2","73.6","2.0","0.0","140.7"
"","low","32.0","528.9","1.0","0.0","0.0","0.0","1.0","86.8"
"John Metchie III","HOU","43.6","583.6","3.0","1.5","10.9","0.1","0.2","99.1"
"","high","51.7","681.0","4.5","2.9","18.1","0.1","0.0","170.7"
"","low","35.5","403.9","2.1","0.0","0.0","0.0","0.4","75.2"
"Russell Gage","TB","53.9","542.6","2.7","0.4","1.5","0.0","0.6","96.5"
"","high","59.0","659.0","4.0","1.1","4.0","0.0","0.0","172.6"
"","low","43.7","476.8","0.8","0.0","0.0","0.0","1.0","89.9"
"Jayden Reed","GB","45.1","564.4","2.7","1.2","12.4","0.1","0.2","96.1"
"","high","47.5","583.6","3.4","2.4","22.4","0.1","0.0","142.9"
"","low","42.6","546.7","1.3","0.0","0.0","0.0","0.4","100.3"
"Greg Dortch","ARI","54.6","504.0","2.0","6.5","52.2","0.1","0.6","94.0"
"","high","59.0","604.7","2.8","10.0","72.0","0.2","0.1","166.7"
"","low","51.2","283.9","0.8","4.6","27.4","0.0","1.0","80.0"
"Alec Pierce","IND","36.6","577.4","2.4","0.0","0.2","0.0","0.0","90.5"
"","high","41.7","742.8","3.4","0.0","1.0","0.0","0.0","141.7"
"","low","29.0","474.0","1.8","0.0","0.0","0.0","0.0","68.3"
"Darius Slayton","NYG","38.1","581.4","2.4","0.6","1.9","0.0","0.6","90.5"
"","high","40.2","659.9","2.9","1.0","7.6","0.0","0.0","140.0"
"","low","37.0","478.4","1.9","0.0","0.0","0.0","1.0","78.1"
"Mecole Hardman Jr.","NYJ","37.6","459.5","2.7","8.1","62.8","0.9","0.9","90.5"
"","high","38.2","520.1","3.2","9.3","89.2","2.0","0.2","131.5"
"","low","37.0","431.3","1.8","6.0","45.1","0.5","1.4","83.8"
"Khalil Shakir","BUF","41.4","540.0","2.4","1.8","9.2","0.1","0.2","90.3"
"","high","44.6","562.8","3.5","3.5","22.4","0.2","0.0","134.7"
"","low","38.2","518.3","0.7","0.0","0.0","0.0","0.4","95.1"
"Allen Robinson II","PIT","42.5","534.9","2.5","0.1","0.4","0.0","0.0","90.1"
"","high","52.8","674.2","4.1","0.4","1.6","0.0","0.0","166.0"
"","low","36.6","417.9","0.7","0.0","0.0","0.0","0.0","74.2"
"Mack Hollins","ATL","43.3","490.6","2.8","0.7","16.0","0.1","0.2","89.1"
"","high","46.7","586.5","4.0","1.3","34.7","0.2","0.0","156.0"
"","low","39.8","424.5","1.4","0.0","0.0","0.0","0.4","85.1"
"Corey Davis","NYJ","36.8","544.8","2.6","0.0","0.5","0.0","0.1","88.2"
"","high","42.2","565.4","3.2","0.0","1.9","0.0","0.0","130.7"
"","low","31.0","534.8","1.1","0.0","0.0","0.0","0.4","82.4"
"Chase Claypool","CHI","35.3","503.6","2.6","6.0","40.2","0.2","0.5","88.0"
