"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Kadarius Toney","KC","51.2","583.9","4.1","10.2","102.3","1.3","0.6","125.2"
"","high","67.6","735.0","5.0","18.0","195.0","3.0","0.1","214.5"
"","low","38.0","406.0","3.1","7.3","48.3","0.4","1.0","101.2"
"Tyler Boyd","CIN","58.2","710.9","3.9","1.5","8.9","0.0","0.2","124.1"
"","high","64.2","857.2","5.0","4.2","24.1","0.2","0.0","203.5"
"","low","52.3","597.9","2.5","0.0","0.0","0.0","0.4","113.4"
"Rondale Moore","ARI","67.1","691.4","2.2","13.9","61.1","0.2","0.4","122.1"
"","high","75.3","826.1","3.7","20.0","113.0","0.4","0.0","218.7"
"","low","57.8","606.1","0.2","4.6","27.0","0.0","0.9","102.5"
"Odell Beckham Jr.","BAL","50.8","672.3","4.4","1.6","19.2","0.2","0.2","122.1"
"","high","57.4","786.3","6.0","3.0","58.0","1.0","0.0","198.4"
"","low","43.6","550.0","2.7","0.0","0.0","0.0","0.5","105.8"
"Zay Jones","JAC","60.3","663.0","3.9","1.9","8.5","0.0","0.2","120.6"
"","high","67.9","757.1","5.0","3.0","12.4","0.1","0.0","205.2"
"","low","53.2","569.3","1.6","0.0","0.0","0.0","0.4","106.2"
"Romeo Doubs","GB","56.2","662.2","4.2","0.7","6.4","0.0","0.7","118.8"
"","high","61.1","725.3","5.3","1.6","17.4","0.0","0.0","178.9"
"","low","50.0","588.8","2.6","0.0","0.0","0.0","1.4","104.7"
"Darnell Mooney","CHI","52.7","667.8","4.0","2.0","9.8","0.1","0.1","118.1"
"","high","57.9","765.8","5.0","3.5","17.2","0.3","0.0","189.7"
"","low","48.6","579.9","2.5","0.0","0.0","0.0","0.5","105.4"
"Michael Gallup","DAL","49.8","658.6","4.6","0.0","0.2","0.0","0.1","117.9"
"","high","55.1","736.9","5.9","0.0","1.0","0.0","0.0","182.3"
"","low","41.0","485.0","2.6","0.0","0.0","0.0","0.4","87.9"
"DJ Chark Jr.","CAR","45.8","710.4","3.8","0.1","1.4","0.0","0.1","116.9"
"","high","49.4","779.8","4.8","0.5","5.4","0.0","0.0","177.5"
"","low","38.0","662.0","3.0","0.0","0.0","0.0","0.4","102.9"
"Quentin Johnston","LAC","47.8","687.1","3.9","2.5","14.0","0.1","0.7","116.4"
"","high","57.2","825.1","5.1","4.3","23.8","0.2","0.0","166.1"
"","low","32.9","398.7","2.7","0.0","0.0","0.0","2.0","113.9"
"Adam Thielen","CAR","53.8","626.9","4.2","0.6","4.1","0.0","0.1","115.0"
"","high","64.0","716.0","5.0","1.8","14.4","0.2","0.0","175.3"
"","low","48.0","544.9","3.5","0.0","0.0","0.0","0.4","103.3"
"Marquez Valdes-Scantling","KC","42.2","688.7","4.2","0.7","1.9","0.0","0.1","114.9"
"","high","52.1","819.4","5.3","1.7","4.9","0.0","0.0","187.8"
"","low","36.0","622.0","2.9","0.0","0.0","0.0","0.3","92.1"
"Skyy Moore","KC","49.9","643.1","3.9","5.5","33.7","0.2","2.1","113.2"
"","high","57.0","814.3","5.7","8.4","50.8","0.6","0.0","149.0"
"","low","34.7","377.8","2.0","3.7","21.3","0.0","5.0","106.9"
"DeVante Parker","NE","46.0","669.1","3.7","0.0","0.2","0.0","0.1","112.0"
"","high","53.7","916.1","6.2","0.0","1.0","0.0","0.0","205.2"
"","low","41.0","557.3","1.8","0.0","0.0","0.0","0.4","98.8"
"Jonathan Mingo","CAR","48.4","670.8","3.3","1.2","13.1","0.1","0.4","111.9"
"","high","51.9","734.0","4.6","2.9","37.0","0.2","0.0","181.1"
"","low","44.0","590.8","2.2","0.0","0.0","0.0","1.0","104.8"
"Hunter Renfrow","LV","60.6","598.3","3.5","0.4","3.8","0.0","0.6","110.1"
"","high","66.6","664.5","4.9","1.0","17.2","0.0","0.0","194.4"
"","low","55.8","533.9","2.4","0.0","0.0","0.0","1.0","99.4"
"Curtis Samuel","WAS","47.9","521.6","2.6","25.7","139.4","0.8","0.5","109.5"
"","high","52.1","588.4","3.8","32.0","161.0","1.0","0.2","169.3"
"","low","46.1","461.5","1.1","17.6","102.6","0.5","1.0","92.0"
"K.J. Osborn","MIN","48.6","559.2","4.2","3.0","14.5","0.1","0.2","107.1"
"","high","58.7","698.4","5.1","4.2","23.6","0.2","0.0","184.5"
"","low","36.8","400.9","2.9","1.7","5.0","0.0","0.6","84.5"
"Elijah Moore","CLE","44.3","601.1","3.3","6.2","30.9","0.3","0.1","106.2"
"","high","57.4","734.1","4.1","7.6","44.6","0.8","0.0","156.5"
"","low","18.6","255.2","1.3","4.8","23.0","0.0","0.5","78.0"
"Van Jefferson","LAR","42.0","608.3","3.9","0.7","5.1","0.0","0.1","105.5"
"","high","47.9","697.8","4.8","1.7","14.1","0.0","0.0","168.5"
"","low","34.0","506.0","3.0","0.0","0.0","0.0","0.4","86.0"
"Jayden Reed","GB","47.0","614.1","3.2","2.3","15.6","0.1","0.7","104.4"
"","high","56.3","682.3","3.9","4.4","26.9","0.2","0.0","146.9"
"","low","41.0","555.3","2.0","0.0","0.0","0.0","2.0","89.5"
"Donovan Peoples-Jones","CLE","43.0","639.2","3.1","0.4","0.5","0.0","0.6","102.8"
"","high","49.0","754.4","4.7","1.0","1.0","0.0","0.0","152.9"
"","low","38.7","512.8","2.0","0.0","0.0","0.0","1.0","89.9"
"Isaiah Hodgins","NYG","46.0","512.6","4.5","0.0","0.6","0.0","0.6","99.9"
"","high","57.3","759.5","6.0","0.0","1.9","0.0","0.0","191.5"
"","low","25.9","284.0","1.8","0.0","0.0","0.0","1.0","62.1"
"Mecole Hardman Jr.","NYJ","42.3","505.1","3.0","7.9","60.6","0.8","0.8","98.8"
"","high","52.4","596.7","3.8","12.8","84.0","2.0","0.2","168.0"
"","low","35.9","438.0","1.8","5.0","28.6","0.2","1.4","86.2"
"Alec Pierce","IND","42.6","620.8","2.6","0.0","0.2","0.0","0.2","98.7"
"","high","44.6","742.8","3.4","0.0","1.0","0.0","0.0","144.7"
"","low","41.6","531.2","1.8","0.0","0.0","0.0","0.5","89.7"
"Rashod Bateman","BAL","40.8","612.5","3.1","0.0","0.2","0.0","0.9","98.5"
"","high","53.4","784.0","4.2","0.0","0.9","0.0","0.0","142.8"
"","low","19.9","263.7","1.3","0.0","0.0","0.0","2.0","74.4"
"Robert Woods","HOU","52.2","534.3","2.5","4.2","21.1","0.2","0.4","97.0"
"","high","65.2","645.1","4.1","8.4","52.6","0.7","0.0","180.5"
"","low","44.2","485.9","1.1","0.0","0.0","0.0","1.0","82.1"
"Jameson Williams","DET","37.2","562.7","3.0","1.9","20.4","0.1","0.5","94.6"
"","high","47.0","723.8","4.0","5.2","34.0","0.3","0.0","139.2"
"","low","33.2","456.5","2.0","0.0","0.0","0.0","1.0","80.1"
"Russell Gage","TB","60.5","509.1","1.8","0.7","1.8","0.0","0.3","91.9"
"","high","60.5","680.9","3.6","0.7","2.5","0.0","0.0","180.5"
"","low","60.5","337.3","0.1","0.7","1.2","0.0","0.5","79.6"
"Rashid Shaheed","NO","33.5","521.2","2.2","3.6","42.6","0.8","0.1","90.4"
"","high","40.0","665.0","2.7","5.0","71.3","2.0","0.0","122.2"
"","low","25.5","382.7","0.9","0.0","0.0","0.0","0.5","84.0"
"Mack Hollins","ATL","42.1","496.6","2.8","0.5","12.2","0.1","0.2","88.8"
"","high","48.8","605.3","4.0","1.4","34.5","0.3","0.0","159.3"
"","low","38.2","445.3","1.7","0.0","0.0","0.0","0.4","83.4"
"Chase Claypool","CHI","36.0","497.6","2.7","5.6","37.2","0.2","0.5","88.0"
"","high","45.1","593.9","3.7","10.0","72.0","0.5","0.0","130.1"
"","low","30.0","387.6","1.0","0.0","0.0","0.0","1.0","72.0"
"Marvin Jones Jr.","DET","37.9","496.2","3.2","0.1","0.5","0.0","0.1","87.5"
"","high","40.8","574.5","4.0","0.3","2.5","0.0","0.0","138.9"
"","low","31.4","388.9","1.2","0.0","0.0","0.0","0.2","78.3"
"John Metchie III","HOU","38.7","513.5","2.6","0.9","8.1","0.0","0.2","86.8"
"","high","50.2","663.2","4.5","2.7","16.6","0.1","0.0","164.6"
"","low","30.2","366.1","1.7","0.0","0.0","0.0","0.4","67.0"
"Darius Slayton","NYG","35.4","543.4","2.3","0.5","1.5","0.0","0.5","85.1"
"","high","40.2","659.9","2.9","1.0","7.6","0.0","0.0","138.6"
"","low","29.2","407.6","1.9","0.0","0.0","0.0","1.0","71.4"
"Rashee Rice","KC","33.5","488.5","3.1","1.2","8.0","0.0","0.4","84.2"
"","high","52.5","711.2","5.1","2.8","17.2","0.1","0.0","121.1"
"","low","19.7","233.0","1.7","0.0","0.0","0.0","1.0","68.7"
"Parris Campbell","NYG","39.7","461.1","2.2","3.6","35.8","0.1","0.3","82.9"
"","high","52.1","563.0","3.0","5.7","57.8","0.3","0.0","118.5"
"","low","27.4","292.3","1.5","0.0","0.0","0.0","0.6","58.3"
"Allen Robinson II","PIT","38.3","473.1","2.6","0.1","0.4","0.0","0.1","82.1"
"","high","52.8","674.2","4.1","0.3","1.6","0.0","0.0","163.9"
"","low","26.3","296.5","0.6","0.0","0.0","0.0","0.3","59.6"
"Joshua Palmer","LAC","37.6","449.0","2.1","0.5","1.8","0.0","0.1","76.6"
"","high","53.0","581.0","3.0","1.0","4.2","0.0","0.0","118.1"
"","low","28.1","302.8","1.3","0.0","0.0","0.0","0.2","61.3"
"Marvin Mims Jr.","DEN","31.4","457.3","2.4","1.0","6.3","0.0","0.2","76.2"
"","high","50.0","665.9","3.9","2.9","18.1","0.1","0.0","125.5"
"","low","6.9","88.3","0.6","0.0","0.0","0.0","0.4","35.6"
"Kendrick Bourne","NE","31.9","419.2","1.8","5.3","35.2","0.2","0.2","72.8"
"","high","37.3","460.1","2.6","8.4","55.3","0.3","0.0","96.8"
"","low","23.4","375.9","0.8","3.0","25.4","0.0","0.5","72.1"
"Tyquan Thornton","NE","29.3","384.8","2.3","3.2","13.9","0.7","0.1","72.4"
"","high","32.0","470.8","3.1","4.5","25.0","2.0","0.0","112.1"
"","low","25.9","296.3","1.3","0.0","0.0","0.0","0.4","54.1"
"Wan'Dale Robinson","NYG","34.1","420.0","1.8","2.6","11.2","0.1","0.5","70.3"
"","high","55.0","620.0","3.0","4.0","25.4","0.2","0.0","110.6"
"","low","17.2","195.1","1.0","0.0","0.0","0.0","1.0","61.1"
"Josh Reynolds","DET","29.8","411.9","2.3","0.2","0.4","0.0","0.2","69.6"
"","high","36.0","497.6","3.3","0.7","1.7","0.0","0.0","102.0"
"","low","22.5","284.1","0.6","0.0","0.0","0.0","0.3","58.4"
"Greg Dortch","ARI","37.7","369.8","1.4","5.9","43.5","0.1","0.5","68.1"
"","high","59.0","551.0","2.0","10.0","71.0","0.2","0.0","96.4"
"","low","24.1","232.7","0.8","4.1","25.9","0.0","1.0","53.6"
"Nick Westbrook-Ikhine","TEN","28.6","395.4","2.4","0.0","0.4","0.0","0.2","67.8"
"","high","32.8","464.0","4.0","0.0","1.8","0.0","0.0","106.5"
"","low","23.6","310.0","1.1","0.0","0.0","0.0","0.5","54.6"
"Jalin Hyatt","NYG","28.3","413.3","2.0","1.2","8.5","0.0","0.4","67.7"
"","high","47.1","610.6","3.0","2.6","16.3","0.1","0.0","113.1"
"","low","12.1","135.1","0.8","0.0","0.0","0.0","1.0","32.5"
"Michael Wilson","ARI","33.0","409.8","1.5","0.6","6.0","0.0","0.2","66.8"
"","high","43.1","512.8","2.3","1.8","12.9","0.1","0.0","84.9"
"","low","16.5","188.4","0.5","0.0","0.0","0.0","0.3","60.4"
"Randall Cobb","NYJ","33.8","353.0","2.1","0.1","0.9","0.0","0.2","64.4"
"","high","43.3","550.5","3.3","0.4","2.7","0.0","0.0","135.0"
"","low","26.8","207.9","0.1","0.0","0.0","0.0","0.4","47.5"
"Ben Skowronek","LAR","34.0","348.7","1.4","0.4","4.7","0.3","0.0","62.6"
"","high","45.8","540.9","2.8","1.0","15.0","1.0","0.0","133.5"
"","low","18.9","205.5","0.0","0.0","0.0","0.0","0.2","43.1"
"Terrace Marshall Jr.","CAR","25.4","406.0","1.6","0.0","0.1","0.0","0.1","62.6"
"","high","32.0","564.9","2.4","0.0","0.5","0.0","0.0","90.9"
"","low","11.2","184.9","0.3","0.0","0.0","0.0","0.3","50.9"
"Sterling Shepard","NYG","29.7","349.0","1.7","2.7","16.4","0.1","0.1","62.0"
"","high","48.0","520.0","4.0","4.7","30.1","0.2","0.0","88.0"
"","low","21.9","229.0","0.4","0.0","0.0","0.0","0.3","45.5"
"Khalil Shakir","BUF","24.2","370.7","1.6","1.1","6.7","0.1","0.2","59.5"
"","high","38.2","562.8","3.0","3.4","21.5","0.2","0.0","126.1"
"","low","16.2","195.4","0.6","0.0","0.0","0.0","0.4","39.1"
"Josh Downs","IND","24.8","368.2","1.6","0.8","6.5","0.0","0.2","59.1"
"","high","31.0","563.0","2.0","2.4","14.8","0.1","0.0","102.4"
"","low","14.6","190.8","1.1","0.0","0.0","0.0","0.4","53.9"
"Tank Dell","HOU","25.4","370.7","1.5","1.1","7.2","0.0","0.6","58.7"
"","high","44.0","616.0","3.0","2.2","13.6","0.1","0.0","95.5"
"","low","7.4","110.7","0.6","0.0","0.0","0.0","2.0","36.6"
"Robbie Chosen","MIA","30.3","332.7","1.7","0.3","1.9","0.0","0.2","58.5"
"","high","41.8","435.8","3.0","0.8","5.6","0.0","0.2","76.4"
"","low","18.8","271.1","0.2","0.0","0.0","0.0","0.2","53.5"
"Tutu Atwell","LAR","22.8","333.9","1.2","7.2","35.0","0.4","0.2","57.9"
"","high","32.4","478.2","2.0","10.0","53.2","1.0","0.0","79.3"
"","low","13.0","170.0","0.1","2.2","13.7","0.1","0.4","41.0"
"Puka Nacua","LAR","25.0","357.1","1.2","0.6","3.9","0.0","0.2","55.4"
"","high","27.1","463.3","1.7","1.9","11.8","0.1","0.2","84.5"
"","low","22.8","264.9","0.6","0.0","0.0","0.0","0.3","46.2"
"Richie James Jr.","KC","24.4","338.7","2.0","0.6","1.8","0.0","1.6","55.3"
"","high","50.0","580.0","5.0","1.0","4.0","0.0","0.0","93.8"
"","low","8.7","108.6","0.7","0.0","0.0","0.0","3.0","26.9"
"Laviska Shenault Jr.","CAR","21.3","267.1","0.9","16.9","85.2","0.7","0.2","54.7"
"","high","22.0","413.2","1.2","27.9","159.1","1.7","0.1","82.1"
"","low","20.6","213.8","0.1","10.0","51.7","0.3","0.3","48.1"
"Trey Palmer","TB","28.8","306.1","1.4","0.3","4.6","0.0","0.1","53.9"
"","high","39.5","484.7","2.4","0.9","12.9","0.2","0.0","82.2"
"","low","20.6","213.7","0.0","0.0","0.0","0.0","0.1","46.5"
"Braxton Berrios","MIA","25.7","289.9","1.5","1.5","19.2","0.3","0.3","53.8"
"","high","36.5","410.9","3.0","4.6","39.5","1.1","0.0","109.6"
"","low","6.8","64.9","0.1","0.0","0.0","0.0","0.6","22.1"
"Isaiah McKenzie","IND","23.2","272.1","1.2","8.2","41.9","0.3","0.1","51.9"
"","high","34.6","348.8","2.1","9.7","54.1","0.5","0.0","77.9"
"","low","15.4","148.2","0.7","5.6","31.0","0.1","0.2","39.0"
"Quez Watkins","PHI","20.6","304.2","1.4","0.5","0.9","0.0","0.2","49.1"
"","high","28.1","450.1","2.3","1.6","2.2","0.0","0.0","80.0"
"","low","12.8","151.4","0.7","0.0","0.0","0.0","0.4","29.2"
"Anthony Miller","SF","21.7","285.1","0.9","0.0","10.7","0.1","0.0","46.4"
"","high","21.7","285.1","0.9","0.0","10.7","0.1","0.0","68.1"
"","low","21.7","285.1","0.9","0.0","10.7","0.1","0.0","68.1"
"Kalif Raymond","DET","20.4","236.0","1.3","2.3","22.4","0.2","0.2","44.4"
"","high","27.8","364.9","2.9","5.3","52.6","0.5","0.1","100.6"
