"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Raheem Mostert","MIA","139.3","615.4","3.4","23.4","164.9","1.0","0.8","114.0"
"","high","163.0","735.0","4.2","27.0","197.7","1.1","0.6","133.9"
"","low","130.0","509.0","1.9","20.0","131.0","0.8","1.1","87.7"
"Rashaad Penny","PHI","152.2","735.7","5.0","8.3","55.9","0.2","0.7","113.2"
"","high","164.0","838.0","7.0","13.0","82.0","0.5","0.5","127.1"
"","low","116.8","557.0","2.9","5.8","39.9","0.0","1.0","86.3"
"Elijah Mitchell","SF","141.1","640.6","4.1","13.1","94.8","0.8","0.3","108.7"
"","high","154.3","697.5","5.1","18.3","149.9","2.0","0.0","131.3"
"","low","118.0","599.0","2.0","7.6","49.6","0.0","1.0","100.5"
"Zach Charbonnet","SEA","125.4","540.7","3.5","23.1","185.9","0.8","1.0","107.9"
"","high","154.9","656.1","5.0","26.6","243.4","1.1","0.6","144.8"
"","low","97.0","437.1","2.0","15.6","117.5","0.0","2.0","89.8"
"Tyler Allgeier","ATL","149.0","691.5","3.4","12.1","92.8","0.4","0.3","106.3"
"","high","167.8","784.6","5.2","16.8","123.7","0.8","0.0","138.0"
"","low","128.0","587.0","0.8","7.0","59.0","0.0","1.0","90.1"
"Jaylen Warren","PIT","115.0","510.6","3.1","25.0","209.3","0.5","0.4","105.3"
"","high","130.0","602.0","3.6","30.0","260.3","0.9","0.0","126.4"
"","low","91.4","403.9","2.7","19.5","136.9","0.0","1.0","95.5"
"Jerick McKinnon","KC","57.1","223.6","1.6","37.6","324.9","3.1","0.2","101.3"
"","high","82.1","313.5","2.7","45.0","363.0","4.0","0.0","137.8"
"","low","37.0","144.0","1.0","30.0","266.0","1.3","0.4","72.8"
"Ezekiel Elliott","NE","142.4","552.9","4.2","15.7","116.2","0.5","0.8","101.2"
"","high","189.0","655.2","5.2","20.0","161.8","1.0","0.4","146.8"
"","low","111.0","444.0","1.3","10.2","61.0","0.0","1.2","89.8"
"Damien Harris","BUF","119.4","533.1","3.8","16.9","115.6","0.4","0.7","96.8"
"","high","176.2","736.6","5.0","22.7","159.6","1.1","0.3","124.0"
"","low","88.2","399.8","3.0","8.9","61.7","0.0","1.0","75.8"
"Chuba Hubbard","CAR","112.2","524.5","3.1","17.6","154.5","0.5","0.7","96.8"
"","high","123.0","764.5","4.9","21.6","217.0","1.0","0.5","160.8"
"","low","97.6","427.1","1.5","12.0","87.4","0.0","1.0","73.8"
"Kenneth Gainwell","PHI","95.8","417.4","3.9","22.1","169.8","0.7","0.3","96.5"
"","high","130.1","583.7","5.0","28.3","207.8","1.1","0.0","123.5"
"","low","72.2","317.5","3.3","14.9","105.7","0.0","0.5","81.0"
"Devin Singletary","HOU","124.5","525.8","2.7","22.5","163.1","0.4","1.2","96.1"
"","high","146.0","564.9","3.9","27.1","202.9","0.7","0.8","133.3"
"","low","105.7","486.1","0.8","15.6","97.5","0.0","2.0","76.2"
"De'Von Achane","MIA","110.6","444.7","2.7","20.3","171.4","0.8","0.9","91.1"
"","high","138.9","568.1","4.0","27.0","276.0","1.0","0.4","121.7"
"","low","75.8","320.5","1.7","12.3","74.2","0.5","2.0","72.9"
"D'Onta Foreman","CHI","126.6","629.7","3.2","7.0","51.2","0.2","0.6","90.7"
"","high","154.4","851.8","5.9","11.0","80.5","0.5","0.5","135.5"
"","low","85.3","377.7","0.5","5.0","34.0","0.0","1.0","60.4"
"Tank Bigsby","JAC","110.7","441.5","2.8","17.8","145.5","0.7","0.9","87.1"
"","high","137.4","560.1","3.5","26.5","207.8","1.3","0.4","118.7"
"","low","89.6","296.8","1.8","10.7","55.6","0.3","2.0","73.2"
"Gus Edwards","BAL","118.1","557.6","3.0","6.7","58.6","0.2","0.9","82.1"
"","high","133.0","639.0","4.7","9.4","82.0","0.4","0.6","95.8"
"","low","106.7","453.5","0.3","5.0","33.1","0.0","1.1","61.5"
"Cordarrelle Patterson","ATL","69.8","298.8","2.3","19.1","156.1","0.8","0.2","73.2"
"","high","87.8","363.0","4.0","26.0","195.6","1.4","0.0","87.7"
"","low","43.5","207.5","0.8","12.0","97.0","0.4","0.3","68.0"
"Roschon Johnson","CHI","94.6","429.0","2.2","9.5","106.9","0.5","1.0","73.0"
"","high","126.9","642.0","4.0","14.0","187.7","1.0","0.2","102.0"
"","low","56.9","240.8","1.3","5.5","39.4","0.3","2.0","44.9"
"Kyren Williams","LAR","95.8","383.0","1.8","16.3","135.0","0.4","0.6","71.6"
"","high","104.8","449.6","2.3","23.6","183.3","0.7","0.2","87.3"
"","low","78.0","333.2","0.6","8.0","59.5","0.0","1.0","52.1"
"Tyjae Spears","TEN","94.3","369.7","1.9","15.3","128.5","0.6","0.8","70.9"
"","high","115.1","448.9","3.0","20.0","188.0","1.0","0.4","92.3"
"","low","73.7","282.0","0.9","11.0","61.4","0.3","2.0","64.4"
"Joshua Kelley","LAC","92.8","380.5","2.3","13.6","115.6","0.3","0.9","69.9"
"","high","104.5","437.6","3.8","23.1","163.2","0.7","0.0","100.2"
"","low","77.2","312.5","1.2","4.7","34.9","0.0","1.7","42.8"
"Chase Edmonds","TB","68.2","311.0","1.5","18.8","154.0","0.7","0.4","68.6"
"","high","100.0","476.0","2.7","26.0","209.4","1.1","0.0","124.3"
"","low","24.4","107.9","0.4","5.1","37.2","0.2","1.0","28.9"
"Clyde Edwards-Helaire","KC","75.1","317.7","2.1","13.2","113.7","0.9","0.3","67.5"
"","high","116.9","441.8","4.0","16.3","148.7","2.0","0.0","90.5"
"","low","41.9","180.9","0.7","7.4","56.0","0.4","0.5","41.3"
"Ty Chandler","MIN","91.0","335.8","2.0","13.8","117.3","0.6","0.8","66.2"
"","high","120.0","482.0","4.0","15.0","142.7","1.0","0.1","78.9"
"","low","62.5","160.2","0.4","12.5","92.7","0.1","2.0","56.4"
"Chase Brown","CIN","71.5","290.9","1.8","16.9","140.1","0.6","0.8","63.9"
"","high","104.2","397.2","3.0","28.0","259.0","1.0","0.3","83.7"
"","low","48.4","204.2","0.6","11.9","80.6","0.2","2.0","46.7"
"Jerome Ford","CLE","95.7","351.0","1.7","10.5","101.0","0.5","0.6","62.8"
"","high","110.0","480.0","3.4","19.5","165.7","1.0","0.1","91.5"
"","low","53.9","102.4","0.6","3.8","29.3","0.2","1.0","26.9"
"Kendre Miller","NO","88.1","314.4","1.6","11.8","114.5","0.5","0.8","60.2"
"","high","121.9","481.8","3.0","19.0","195.0","1.0","0.2","97.7"
"","low","44.4","125.4","1.1","5.7","29.0","0.2","2.0","35.4"
"Keaontay Ingram","ARI","73.4","301.8","1.8","13.7","95.7","0.3","0.4","58.2"
"","high","102.0","357.3","3.0","15.0","108.0","0.5","0.0","81.1"
"","low","52.5","218.8","0.2","12.8","87.3","0.0","1.0","46.9"
"Latavius Murray","BUF","61.9","285.5","1.6","10.1","74.0","0.2","0.0","51.8"
"","high","108.0","424.0","3.0","14.4","120.5","0.4","0.0","90.5"
"","low","17.7","76.3","0.6","6.8","45.1","0.0","0.1","22.7"
"Matt Breida","NYG","59.1","264.4","1.2","12.4","100.5","0.3","0.8","49.9"
