Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Isaiah Spiller,LAC,47.9,69.5,39.7,-4.24375,-4.75625,-2.89375,0.0,RB
Corey Clement,ARI,44.9,73.9,24.8,-4.43125,-5.6875,-2.6187499999999995,0.0,RB
Kenyan Drake,IND,44.9,93.3,18.3,-4.43125,-6.09375,-1.40625,0.0,RB
Malik Davis,DAL,44.4,53.3,15.9,-4.4625,-6.2437499999999995,-3.90625,0.0,RB
Zach Evans,LAR,44.3,74.9,35.5,-4.46875,-5.01875,-2.5562499999999995,0.0,RB
Melvin Gordon III,BAL,43.9,97.4,35.9,-4.49375,-4.99375,-1.1499999999999995,0.0,RB
Deuce Vaughn,DAL,42.5,75.1,17.6,-4.58125,-6.137499999999999,-2.54375,0.0,RB
Ty Montgomery,NE,41.6,61.4,22.5,-4.637499999999999,-5.83125,-3.4,0.0,RB
JaMycal Hasty,JAC,41.5,71.9,16.8,-4.64375,-6.1875,-2.7437499999999995,0.0,RB
Eric Gray,NYG,40.9,60.2,42.0,-4.68125,-4.6125,-3.4749999999999996,0.0,RB
Ameer Abdullah,LV,39.8,52.7,28.4,-4.75,-5.4625,-3.9437499999999996,0.0,RB
Deon Jackson,IND,39.3,42.8,38.9,-4.78125,-4.80625,-4.5625,0.0,RB
Royce Freeman,LAR,37.4,101.8,13.9,-4.9,-6.3687499999999995,-0.875,0.0,RB
DeeJay Dallas,SEA,37.1,75.6,36.2,-4.918749999999999,-4.975,-2.5125,0.0,RB
Sean Tucker,TB,36.4,50.3,46.7,-4.9625,-4.31875,-4.09375,0.0,RB
Hassan Haskins,TEN,35.5,51.1,32.0,-5.01875,-5.2375,-4.043749999999999,0.0,RB
Ke'Shawn Vaughn,TB,35.0,56.5,17.8,-5.05,-6.125,-3.70625,0.0,RB
Kevin Harris,NE,32.6,30.4,26.1,-5.199999999999999,-5.606249999999999,-5.3375,0.0,RB
Jordan Mason,SF,32.5,61.5,8.4,-5.20625,-6.7124999999999995,-3.39375,0.0,RB
Kene Nwangwu,MIN,31.4,32.7,24.0,-5.275,-5.7375,-5.19375,0.0,RB
Raheem Blackshear,CAR,31.3,45.0,17.6,-5.28125,-6.137499999999999,-4.425,0.0,RB
Chris Rodriguez Jr.,WAS,30.2,49.3,16.2,-5.35,-6.225,-4.15625,0.0,RB
Evan Hull,IND,30.1,53.0,15.6,-5.356249999999999,-6.2625,-3.925,0.0,RB
DeWayne McBride,MIN,29.7,66.8,13.0,-5.38125,-6.425,-3.0625,0.0,RB
Zamir White,LV,29.6,81.4,8.4,-5.387499999999999,-6.7124999999999995,-2.1499999999999995,0.0,RB
Trayveon Williams,CIN,29.6,37.2,5.6,-5.387499999999999,-6.8875,-4.9125,0.0,RB
Boston Scott,PHI,28.0,61.3,8.6,-5.4875,-6.7,-3.40625,0.0,RB
Chris Evans,CIN,26.4,46.3,19.5,-5.5875,-6.01875,-4.34375,0.0,RB
Travis Homer,CHI,26.4,54.2,11.6,-5.5875,-6.5125,-3.8499999999999996,0.0,RB
Anthony McFarland Jr.,PIT,26.1,67.8,13.5,-5.606249999999999,-6.39375,-3.0,0.0,RB
Kyle Juszczyk,SF,26.0,36.1,23.5,-5.6125,-5.76875,-4.981249999999999,0.0,RB
J.J. Taylor,NE,25.6,49.1,9.4,-5.637499999999999,-6.6499999999999995,-4.168749999999999,0.0,RB
Sincere McCormick,LV,25.5,15.0,15.0,-5.64375,-6.3,-6.3,0.0,RB
Patrick Taylor Jr.,GB,25.3,34.5,20.4,-5.65625,-5.9625,-5.08125,0.0,RB
Jonathan Williams,WAS,24.7,36.6,6.1,-5.69375,-6.85625,-4.949999999999999,0.0,RB
Kenny McIntosh,SEA,24.3,32.6,14.0,-5.71875,-6.3625,-5.199999999999999,0.0,RB
Brandon Bolden,LV,24.3,43.3,18.6,-5.71875,-6.074999999999999,-4.53125,0.0,RB
D'Ernest Johnson,JAC,23.9,55.1,9.4,-5.74375,-6.6499999999999995,-3.7937499999999997,0.0,RB
Tony Jones Jr.,DEN,23.6,31.2,5.7,-5.762499999999999,-6.88125,-5.2875,0.0,RB
James Robinson,NYG,23.3,46.2,11.7,-5.78125,-6.50625,-4.35,0.0,RB
Demetric Felton Jr.,CLE,23.2,57.2,13.1,-5.7875,-6.41875,-3.6624999999999996,0.0,RB
Tyrion Davis-Price,SF,22.2,43.2,8.7,-5.85,-6.69375,-4.5375,0.0,RB
Gary Brightwell,NYG,20.8,35.9,9.7,-5.9375,-6.63125,-4.99375,0.0,RB
Tyler Badie,DEN,20.6,53.5,13.7,-5.949999999999999,-6.38125,-3.89375,0.0,RB
Mike Boone,HOU,20.4,21.6,11.9,-5.9625,-6.4937499999999995,-5.887499999999999,0.0,RB
Hunter Luepke,DAL,20.2,21.6,14.6,-5.975,-6.325,-5.887499999999999,0.0,RB
John Kelly Jr.,CLE,19.8,9.5,9.5,-6.0,-6.64375,-6.64375,0.0,RB
Deneric Prince,KC,19.0,32.8,23.8,-6.05,-5.75,-5.1875,0.0,RB
Snoop Conner,JAC,19.0,25.2,12.3,-6.05,-6.46875,-5.6625,0.0,RB
Salvon Ahmed,MIA,18.1,36.2,9.0,-6.106249999999999,-6.675,-4.975,0.0,RB
Myles Gaskin,MIA,17.8,36.2,11.1,-6.125,-6.54375,-4.975,0.0,RB
Rico Dowdle,DAL,17.5,26.6,5.4,-6.14375,-6.8999999999999995,-5.574999999999999,0.0,RB
Dare Ogunbowale,HOU,17.3,50.5,8.8,-6.15625,-6.6875,-4.08125,0.0,RB
Brittain Brown,LV,17.2,15.0,8.7,-6.1625,-6.69375,-6.3,0.0,RB
Lew Nichols III,GB,17.1,15.0,11.0,-6.168749999999999,-6.55,-6.3,0.0,RB
Reggie Gilliam,BUF,17.0,16.6,16.6,-6.175,-6.199999999999999,-6.199999999999999,0.0,RB
Justice Hill,BAL,16.8,29.1,9.2,-6.1875,-6.6625,-5.418749999999999,0.0,RB
Craig Reynolds,DET,16.8,24.7,10.6,-6.1875,-6.575,-5.69375,0.0,RB
Alec Ingold,MIA,15.9,23.6,11.9,-6.2437499999999995,-6.4937499999999995,-5.762499999999999,0.0,RB
Damarea Crockett,NYJ,15.5,15.3,15.3,-6.26875,-6.28125,-6.28125,0.0,RB
Ty'Son Williams,ARI,15.0,15.8,6.5,-6.3,-6.83125,-6.25,0.0,RB
