Player,Team,FPTS,High_FPTS,Low_FPTS,VAL,F,C,PS,Position
Cordarrelle Patterson,ATL,74.4,89.5,70.6,-1.2874999999999996,-1.5250000000000004,-0.34375,0.0,RB
Zonovan Knight,NYJ,72.6,91.8,72.9,-1.4000000000000004,-1.3812499999999996,-0.20000000000000018,0.0,RB
Joshua Kelley,LAC,69.4,100.3,40.8,-1.5999999999999996,-3.3875,0.3312499999999998,0.0,RB
Tyjae Spears,TEN,68.3,86.9,63.2,-1.6687500000000002,-1.9874999999999998,-0.5062499999999996,0.0,RB
Clyde Edwards-Helaire,KC,66.5,92.2,40.8,-1.78125,-3.3875,-0.17499999999999982,0.0,RB
Chase Brown,CIN,66.2,85.8,43.6,-1.7999999999999998,-3.2125,-0.5750000000000002,0.0,RB
Michael Carter,NYJ,66.0,107.7,32.6,-1.8125,-3.9,0.7937500000000002,0.0,RB
Jerome Ford,CLE,62.5,93.7,29.6,-2.03125,-4.0875,-0.08124999999999982,0.0,RB
Kendre Miller,NO,62.0,105.5,29.4,-2.0625,-4.1,0.65625,0.0,RB
Israel Abanikanda,NYJ,57.9,80.7,74.1,-2.31875,-1.3062500000000004,-0.8937499999999998,0.0,RB
Keaontay Ingram,ARI,57.9,79.5,47.6,-2.31875,-2.9625,-0.96875,0.0,RB
Kyren Williams,LAR,57.7,77.4,37.2,-2.33125,-3.6125,-1.0999999999999996,0.0,RB
Pierre Strong Jr.,NE,57.5,81.1,49.1,-2.34375,-2.86875,-0.8687500000000004,0.0,RB
Ronald Jones II,DAL,54.5,63.6,45.0,-2.53125,-3.125,-1.9625,0.0,RB
Ty Chandler,MIN,51.8,71.8,6.9,-2.7,-5.50625,-1.4500000000000002,0.0,RB
Zack Moss,IND,50.8,70.8,47.3,-2.7625,-2.98125,-1.5125000000000002,0.0,RB
Matt Breida,NYG,50.5,85.8,30.4,-2.78125,-4.0375,-0.5750000000000002,0.0,RB
Latavius Murray,BUF,50.0,96.2,24.3,-2.8125,-4.41875,0.07500000000000018,0.0,RB
Isaiah Spiller,LAC,47.9,69.5,39.7,-2.94375,-3.45625,-1.59375,0.0,RB
Corey Clement,ARI,44.9,73.9,24.8,-3.13125,-4.3875,-1.3187499999999996,0.0,RB
Kenyan Drake,IND,44.9,93.3,18.3,-3.13125,-4.79375,-0.10625000000000018,0.0,RB
Malik Davis,DAL,44.4,53.3,15.9,-3.1625,-4.94375,-2.60625,0.0,RB
Zach Evans,LAR,44.3,74.9,35.5,-3.16875,-3.71875,-1.2562499999999996,0.0,RB
Melvin Gordon III,BAL,43.9,97.4,35.9,-3.19375,-3.69375,0.15000000000000036,0.0,RB
Deuce Vaughn,DAL,42.5,75.1,17.6,-3.28125,-4.8375,-1.2437500000000004,0.0,RB
Ty Montgomery,NE,41.6,61.4,22.5,-3.3375,-4.53125,-2.1,0.0,RB
JaMycal Hasty,JAC,41.5,71.9,16.8,-3.34375,-4.8875,-1.4437499999999996,0.0,RB
Eric Gray,NYG,40.9,60.2,42.0,-3.38125,-3.3125,-2.175,0.0,RB
Ameer Abdullah,LV,39.8,52.7,28.4,-3.45,-4.1625,-2.64375,0.0,RB
Deon Jackson,IND,39.3,42.8,38.9,-3.48125,-3.50625,-3.2625,0.0,RB
Royce Freeman,LAR,37.4,101.8,13.9,-3.6,-5.06875,0.4249999999999998,0.0,RB
DeeJay Dallas,SEA,37.1,75.6,36.2,-3.61875,-3.675,-1.2125000000000004,0.0,RB
Sean Tucker,TB,36.4,50.3,46.7,-3.6625,-3.01875,-2.79375,0.0,RB
Hassan Haskins,TEN,35.5,51.1,32.0,-3.71875,-3.9375,-2.74375,0.0,RB
Ke'Shawn Vaughn,TB,35.0,56.5,17.8,-3.75,-4.825,-2.40625,0.0,RB
Kevin Harris,NE,32.6,30.4,26.1,-3.9,-4.30625,-4.0375,0.0,RB
Jordan Mason,SF,32.5,61.5,8.4,-3.90625,-5.4125,-2.09375,0.0,RB
Kene Nwangwu,MIN,31.4,32.7,24.0,-3.975,-4.4375,-3.89375,0.0,RB
Raheem Blackshear,CAR,31.3,45.0,17.6,-3.98125,-4.8375,-3.125,0.0,RB
Chris Rodriguez Jr.,WAS,30.2,49.3,16.2,-4.05,-4.925,-2.85625,0.0,RB
Evan Hull,IND,30.1,53.0,15.6,-4.05625,-4.9625,-2.625,0.0,RB
DeWayne McBride,MIN,29.7,66.8,13.0,-4.08125,-5.125,-1.7625000000000002,0.0,RB
