"Player","Team","REC","YDS","TDS","FL","FPTS"
"","high","14.7","161.5","1.0","0.0","33.0"
"","low","7.3","68.5","0.0","0.1","15.5"
"Dan Arnold","PHI","8.3","131.5","0.7","0.1","21.5"
"","high","10.0","160.2","1.0","0.0","29.6"
"","low","6.6","76.2","0.5","0.3","14.9"
"Miller Forristall","CLE","10.0","105.0","1.0","0.0","21.5"
"","high","10.0","105.0","1.0","0.0","15.0"
"","low","10.0","105.0","1.0","0.0","15.0"
"Ko Kieft","TB","10.6","113.8","0.8","0.1","21.3"
"","high","18.5","197.6","1.2","0.0","32.9"
"","low","3.9","39.5","0.3","0.1","10.9"
"Connor Heyward","PIT","9.0","102.1","0.7","0.1","20.3"
"","high","14.9","155.7","1.3","0.0","35.8"
"","low","3.6","36.5","0.2","0.1","9.6"
"Tre' McKitty","LAC","10.6","107.6","0.7","0.0","20.0"
"","high","14.0","141.9","1.0","0.0","29.6"
"","low","8.2","81.4","0.0","0.1","15.3"
"Andrew Ogletree","IND","10.0","88.0","1.0","0.0","19.8"
"","high","10.0","88.0","1.0","0.0","15.0"
"","low","10.0","88.0","1.0","0.0","15.0"
"James Mitchell","DET","8.7","111.7","0.7","0.0","19.4"
"","high","13.0","172.7","1.0","0.0","33.1"
"","low","4.0","43.6","0.4","0.1","10.9"
"Josh Whyle","TEN","9.2","104.3","0.7","0.0","19.2"
"","high","11.9","149.1","1.0","0.0","31.3"
"","low","6.8","72.3","0.4","0.1","14.6"
"Davis Allen","LAR","15.7","83.9","0.5","0.3","18.5"
"","high","29.0","199.0","1.0","0.0","23.8"
"","low","2.3","17.7","0.2","1.0","12.9"
"Jack Stoll","PHI","10.0","106.0","0.4","0.0","18.1"
"","high","20.0","207.0","1.0","0.0","25.4"
"","low","3.5","32.5","0.0","0.0","9.4"
"Zach Gentry","PIT","10.9","92.2","0.5","0.0","17.9"
"","high","14.0","106.0","1.0","0.0","30.6"
"","low","7.3","67.1","0.0","0.0","15.0"
"Stone Smartt","LAC","9.0","82.0","0.7","0.0","17.2"
"","high","14.0","110.0","1.0","0.0","16.9"
"","low","4.1","54.0","0.5","0.0","14.5"
"Zack Kuntz","NYJ","7.1","104.4","0.5","0.0","17.1"
"","high","12.0","172.7","1.0","0.0","32.4"
"","low","2.2","17.4","0.2","0.1","8.5"
"Tyler Kroft","MIA","7.2","92.0","0.7","0.0","16.7"
"","high","11.0","134.0","1.0","0.0","25.2"
"","low","2.9","29.8","0.4","0.1","12.0"
"Marcedes Lewis","CHI","8.0","59.3","1.1","0.1","16.4"
"","high","8.0","86.0","2.0","0.0","20.0"
"","low","8.0","32.6","0.2","0.1","11.2"
"Jeremy Ruckert","NYJ","6.2","100.2","0.5","0.0","16.2"
"","high","12.0","208.4","1.0","0.0","37.3"
"","low","3.0","35.5","0.3","0.1","8.5"
"Stephen Sullivan","CAR","8.8","83.0","0.5","0.0","15.7"
"","high","14.0","198.0","1.0","0.0","22.4"
"","low","3.7","14.0","0.2","0.0","8.0"
"Tanner Hudson","CIN","8.0","86.6","0.4","0.0","15.3"
"","high","11.8","119.4","1.0","0.0","33.5"
"","low","4.2","41.6","0.0","0.0","10.2"
"Drew Sample","CIN","8.6","78.9","0.5","0.1","15.1"
"","high","13.0","107.7","1.0","0.0","24.7"
"","low","4.4","37.1","0.0","0.3","9.9"
"Reggie Gilliam","BUF","8.3","64.8","0.6","0.0","14.8"
"","high","13.0","110.0","1.0","0.0","14.1"
"","low","3.6","19.6","0.2","0.0","11.4"
